ID,RSU Code,SDU Billing Rates,Circle,GST State,ID (Rsu Items),Item (Rsu Items),Plan FAT (Rsu Items),Plan Fibre length (Rsu Items),Plan HP (Rsu Items)
PV3-0-DEL-11243,PV3-0,DEL 1 Year Fix,DEL,Delhi,fji25iqtdf,SER-FSDU-CFT-6F,75,958,600
,,,,,fji2asj6q1,SER-FSDU-CFT-12F,75,772,600
,,,,,fji2crmqso,SER-FSDU-CFT-24F,75,1855,600
,,,,,fji2j63lcf,SER-FSDU-CFT-48F,75,685,600
PJ1-0-DEL-11242,PJ1-0,DEL 1 Year Fix,DEL,,fji2frprdi,SER-FSDU-CFT-6F,278,2521,2224
,,,,,fji2n89546,SER-FSDU-CFT-12F,278,3410,2224
,,,,,fji262lftq,SER-FSDU-CFT-24F,278,1820,2224
,,,,,fji2tnmgeh,SER-FSDU-CFT-48F,278,236,2224
P4V-0-DEL-11241,P4V-0,DEL 1 Year Fix,DEL,,fji27jk5sb,SER-FSDU-CFT-6F,60,805,480
,,,,,fji22jl8sp,SER-FSDU-CFT-12F,60,797,480
,,,,,fji2u42j5b,SER-FSDU-CFT-24F,60,1552,480
,,,,,fji2ejjghq,SER-FSDU-CFT-48F,60,612,480
P4U-0-DEL-11240,P4U-0,DEL 1 Year Fix,DEL,,fji2739c5l,SER-FSDU-CFT-6F,146,2840,1168
,,,,,fji2u20uuv,SER-FSDU-CFT-12F,146,1900,1168
,,,,,fji2jsfojl,SER-FSDU-CFT-24F,146,4100,1168
,,,,,fji2fgqnur,SER-FSDU-CFT-48F,146,2480,1168
P3E-0-DEL-11239,P3E-0,DEL 1 Year Fix,DEL,,fji20ildsl,SER-FSDU-CFT-6F,182,3525,1456
,,,,,fji2a3eavh,SER-FSDU-CFT-12F,182,3390,1456
,,,,,fji25n1r0s,SER-FSDU-CFT-24F,182,2815,1456
,,,,,fji2s8ehi2,SER-FSDU-CFT-48F,182,1325,1456
P2C-0-DEL-11238,P2C-0,DEL 1 Year Fix,DEL,,fji224a4o5,SER-FSDU-CFT-6F,88,2317,704
,,,,,fji232u91r,SER-FSDU-CFT-12F,88,2353,704
,,,,,fji2s585e3,SER-FSDU-CFT-24F,88,2535,704
,,,,,fji2mi2ae9,SER-FSDU-CFT-48F,88,0,704
P1X-0-DEL-11237,P1X-0,DEL 1 Year Fix,DEL,,fji1n35ih8,SER-FSDU-CFT-6F,114,1987.0; 2240.0,912
,,,,,fji16v4bbo,SER-FSDU-CFT-12F,114,1880.0; 2051.0,912
,,,,,fji1hc7p79,SER-FSDU-CFT-24F,114,3280.0; 3576.0,912
,,,,,fji14g2saj,SER-FSDU-CFT-48F,114,831.0; 1350.0,912
OL4-0-DEL-11236,OL4-0,DEL 1 Year Fix,DEL,Delhi,fji1re0en5,SER-FSDU-CFT-6F,58,1106,880
,,,,,fji1ei2kf4,SER-FSDU-CFT-12F,58,870,880
,,,,,fji1d3vlml,SER-FSDU-CFT-24F,58,950,880
,,,,,fji1a2sihc,SER-FSDU-CFT-48F,58,1360,880
NZX-0-DEL-11235,NZX-0,DEL 1 Year Fix,DEL,,fji19gdaun,SER-FSDU-CFT-6F,338,8230,2704
,,,,,fji1nkmufb,SER-FSDU-CFT-12F,338,7745,2704
,,,,,fji1rk65if,SER-FSDU-CFT-24F,338,5160,2704
,,,,,fji1mevnfu,SER-FSDU-CFT-48F,338,810,2704
NXZ-0-DEL-11234,NXZ-0,DEL 1 Year Fix,DEL,,fji19ki45k,SER-FSDU-CFT-6F,133,2738,1104
,,,,,fji11dks54,SER-FSDU-CFT-12F,133,3195,1104
,,,,,fji1v5893b,SER-FSDU-CFT-24F,133,2160,1104
,,,,,fji19qcrn0,SER-FSDU-CFT-48F,133,0,1104
NXS-0-DEL-11233,NXS-0,DEL 1 Year Fix,DEL,,fji1ucv98m,SER-FSDU-CFT-6F,311,6965,2488
,,,,,fji1pug1nd,SER-FSDU-CFT-12F,311,7960,2488
,,,,,fji1t7qnl7,SER-FSDU-CFT-24F,311,6710,2488
,,,,,fji1ti1nef,SER-FSDU-CFT-48F,311,300,2488
NX0-0-DEL-11232,NX0-0,DEL 1 Year Fix,DEL,,fji13vcel7,SER-FSDU-CFT-6F,216,3264,1728
,,,,,fji1s80uu5,SER-FSDU-CFT-12F,216,3795,1728
,,,,,fji1j46h45,SER-FSDU-CFT-24F,216,6618,1728
,,,,,fji1t6naad,SER-FSDU-CFT-48F,216,3173,1728
NU0-0-DEL-11231,NU0-0,DEL 1 Year Fix,DEL,,fji11e989f,SER-FSDU-CFT-6F,219,3985,2488
,,,,,fji15o9do5,SER-FSDU-CFT-12F,219,4325,2488
,,,,,fji13jl3m6,SER-FSDU-CFT-24F,219,2764,2488
,,,,,fji156b9tf,SER-FSDU-CFT-48F,219,3826,2488
NS0-0-DEL-11230,NS0-0,DEL 1 Year Fix,DEL,,fji10teh2h,SER-FSDU-CFT-6F,190,3370,1632
,,,,,fji1mqhvlq,SER-FSDU-CFT-12F,190,2908,1632
,,,,,fji1fq0e5c,SER-FSDU-CFT-24F,190,5633,1632
,,,,,fji10piv8d,SER-FSDU-CFT-48F,190,1345,1632
NR0-0-DEL-11229,NR0-0,DEL 1 Year Fix,DEL,,fji1f8dul7,SER-FSDU-CFT-6F,142,3080,1136
,,,,,fji1u50up7,SER-FSDU-CFT-12F,142,2022,1136
,,,,,fji1kntb5t,SER-FSDU-CFT-24F,142,3162,1136
,,,,,fji1fqf3tl,SER-FSDU-CFT-48F,142,1698,1136
NP4-0-DEL-11228,NP4-0,DEL 1 Year Fix,DEL,Delhi,fji0m7977o,SER-FSDU-CFT-6F,267,3455,2136
,,,,,fji0j7gevr,SER-FSDU-CFT-12F,267,3361,2136
,,,,,fji08ns8a9,SER-FSDU-CFT-24F,267,5796,2136
,,,,,fji009rcav,SER-FSDU-CFT-48F,267,4620,2136
NH0-0-DEL-11227,NH0-0,DEL 1 Year Fix,DEL,,fji05qso1b,SER-FSDU-CFT-6F,64,825.0; 837.0,512
,,,,,fji071ni52,SER-FSDU-CFT-12F,64,816.0; 1001.0,512
,,,,,fji0cen200,SER-FSDU-CFT-24F,64,1318.0; 1869.0,512
,,,,,fji02pqvnd,SER-FSDU-CFT-48F,64,532.0; 633.0,512
N3T-0-DEL-11226,N3T-0,DEL 1 Year Fix,DEL,,fji0pq9gp9,SER-FSDU-CFT-6F,229,3222,1840
,,,,,fji0r22t6t,SER-FSDU-CFT-12F,229,2261,1840
,,,,,fji01bv17p,SER-FSDU-CFT-24F,229,4429,1840
,,,,,fji0c9418r,SER-FSDU-CFT-48F,229,2466,1840
N2X-0-DEL-11225,N2X-0,DEL 1 Year Fix,DEL,,fji0fat590,SER-FSDU-CFT-6F,60,1006,480
,,,,,fji01pcq4a,SER-FSDU-CFT-12F,60,1422,480
,,,,,fji0n790eb,SER-FSDU-CFT-24F,60,1324,480
,,,,,fji0suc600,SER-FSDU-CFT-48F,60,0,480
N2P-0-DEL-11224,N2P-0,DEL 1 Year Fix,DEL,,fji0t3lad5,SER-FSDU-CFT-6F,307,10520,2472
,,,,,fji0hk17q5,SER-FSDU-CFT-12F,307,3010,2472
,,,,,fji0ei4v54,SER-FSDU-CFT-24F,307,1780,2472
,,,,,fji0asc8dl,SER-FSDU-CFT-48F,307,800.0; 1707.0,2472
MN0-0-DEL-11223,MN0-0,DEL 1 Year Fix,DEL,,fji0jf7jpe,SER-FSDU-CFT-6F,116,1420,928
,,,,,fji06c1noj,SER-FSDU-CFT-12F,116,1060,928
,,,,,fji0d80nkp,SER-FSDU-CFT-24F,116,3088,928
,,,,,fji0oq7h7g,SER-FSDU-CFT-48F,116,815,928
MB2-0-DEL-11222,MB2-0,DEL 1 Year Fix,DEL,,fji0ioq0df,SER-FSDU-CFT-6F,33,1750,280
,,,,,fji0kn5ibs,SER-FSDU-CFT-12F,33,390,280
,,,,,fji0phif8n,SER-FSDU-CFT-24F,33,600,280
,,,,,fji0t7pd12,SER-FSDU-CFT-48F,33,0,280
M2P-0-DEL-11221,M2P-0,DEL 1 Year Fix,DEL,,fji06u2v5q,SER-FSDU-CFT-6F,90,1308,720
,,,,,fji0074ib1,SER-FSDU-CFT-12F,90,996,720
,,,,,fji09k19nm,SER-FSDU-CFT-24F,90,600,720
,,,,,fji0bkj6a8,SER-FSDU-CFT-48F,90,0,720
M1U-0-DEL-11220,M1U-0,DEL 1 Year Fix,DEL,,fji081khe2,SER-FSDU-CFT-6F,228,1422,1824
,,,,,fji0df7uts,SER-FSDU-CFT-12F,228,2505,1824
,,,,,fji0caj2mp,SER-FSDU-CFT-24F,228,1236,1824
,,,,,fji0e4mfn5,SER-FSDU-CFT-48F,228,208,1824
M1G-0-DEL-11219,M1G-0,DEL 1 Year Fix,DEL,,fjhvckfk3h,SER-FSDU-CFT-6F,150,1640,1200
,,,,,fjhv9dt5di,SER-FSDU-CFT-12F,150,1680,1200
,,,,,fjhvgri6je,SER-FSDU-CFT-24F,150,3200,1200
,,,,,fjhvstv315,SER-FSDU-CFT-48F,150,2130,1200
M0R-0-DEL-11218,M0R-0,DEL 1 Year Fix,DEL,,fjhvgogefh,SER-FSDU-CFT-6F,125,2022,1000
,,,,,fjhvbl74t4,SER-FSDU-CFT-12F,125,1951,1000
,,,,,fjhv4i5fm2,SER-FSDU-CFT-24F,125,2528,1000
,,,,,fjhv7nocra,SER-FSDU-CFT-48F,125,870,1000
M0N-0-DEL-11217,M0N-0,DEL 1 Year Fix,DEL,,fjhvl36d92,SER-FSDU-CFT-6F,141,1988,1208
,,,,,fjhvorr14d,SER-FSDU-CFT-12F,141,2138,1208
,,,,,fjhvqptqmq,SER-FSDU-CFT-24F,141,3366,1208
,,,,,fjhvbp1gh1,SER-FSDU-CFT-48F,141,1458,1208
M0H-0-DEL-11216,M0H-0,DEL 1 Year Fix,DEL,,fjhv0q700u,SER-FSDU-CFT-6F,207,1835.0; 2268.0,1656
,,,,,fjhv4bvq1d,SER-FSDU-CFT-12F,207,1540.0; 2526.0,1656
,,,,,fjhveus687,SER-FSDU-CFT-24F,207,2480.0; 4615.0,1656
,,,,,fjhvunf92d,SER-FSDU-CFT-48F,207,822.0; 1000.0,1656
M0G-0-DEL-11215,M0G-0,DEL 1 Year Fix,DEL,,fjhvbg1pr5,SER-FSDU-CFT-6F,84,1791,1024
,,,,,fjhvm6jfpl,SER-FSDU-CFT-12F,84,2141,1024
,,,,,fjhvteujeh,SER-FSDU-CFT-24F,84,801,1024
,,,,,fjhvru6rba,SER-FSDU-CFT-48F,84,617,1024
LB4-0-DEL-11214,LB4-0,DEL 1 Year Fix,DEL,,fjhvelgjq7,SER-FSDU-CFT-6F,148,2293,1184
,,,,,fjhvp4iva5,SER-FSDU-CFT-12F,148,1903,1184
,,,,,fjhv7nc88s,SER-FSDU-CFT-24F,148,4113,1184
,,,,,fjhvrs22qr,SER-FSDU-CFT-48F,148,2201,1184
KZC-0-DEL-11213,KZC-0,DEL 1 Year Fix,DEL,Delhi,fjhvh94em9,SER-FSDU-CFT-6F,87,1305,1424
,,,,,fjhvbc55aj,SER-FSDU-CFT-12F,87,940,1424
,,,,,fjhvm3j55e,SER-FSDU-CFT-24F,87,1155,1424
,,,,,fjhvmvpm1b,SER-FSDU-CFT-48F,87,725,1424
KXW-0-DEL-11212,KXW-0,DEL 1 Year Fix,DEL,,fjhvgihke3,SER-FSDU-CFT-6F,237,5500,1896
,,,,,fjhvmrck29,SER-FSDU-CFT-12F,237,5800,1896
,,,,,fjhv43m8ca,SER-FSDU-CFT-24F,237,3550,1896
,,,,,fjhvh9g4n1,SER-FSDU-CFT-48F,237,690,1896
KV2-0-DEL-11211,KV2-0,DEL 1 Year Fix,DEL,,fjhujls3g4,SER-FSDU-CFT-6F,274,8800,2760
