"ID","RSU Code","SDU Billing Rates","Circle","GST State","ID (Rsu Items)","Item (Rsu Items)","Plan FAT (Rsu Items)","Plan Fibre length (Rsu Items)","Plan HP (Rsu Items)"
"","","","","","","SER-FSDU-CFT-48F",261,0,2296
"","C1W-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",191,0,1728
"","","","","","","SER-FSDU-CFT-12F",191,0,1728
"","","","","","","SER-FSDU-CFT-24F",191,0,1728
"","","","","","","SER-FSDU-CFT-48F",191,0,1728
"","C3K-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",244,0,1960
"","","","","","","SER-FSDU-CFT-12F",244,0,1960
"","","","","","","SER-FSDU-CFT-24F",244,0,1960
"","","","","","","SER-FSDU-CFT-48F",244,0,1960
"","C3K -2-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",5,0,40
"","","","","","","SER-FSDU-CFT-12F",5,0,40
"","","","","","","SER-FSDU-CFT-24F",5,0,40
"","","","","","","SER-FSDU-CFT-48F",5,0,40
"","CH1-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",113,0,936
"","","","","","","SER-FSDU-CFT-12F",113,0,936
"","","","","","","SER-FSDU-CFT-24F",113,0,936
"","","","","","","SER-FSDU-CFT-48F",113,0,936
"","CH2/CN3-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",138,0,1312
"","","","","","","SER-FSDU-CFT-12F",138,0,1312
"","","","","","","SER-FSDU-CFT-24F",138,0,1312
"","","","","","","SER-FSDU-CFT-48F",138,0,1312
"","CH4-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",118,0,944
"","","","","","","SER-FSDU-CFT-12F",118,0,944
"","","","","","","SER-FSDU-CFT-24F",118,0,944
"","","","","","","SER-FSDU-CFT-48F",118,0,944
"","CN3-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",168,0,1344
"","","","","","","SER-FSDU-CFT-12F",168,0,1344
"","","","","","","SER-FSDU-CFT-24F",168,0,1344
"","","","","","","SER-FSDU-CFT-48F",168,0,1344
"","CN3 -1-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",11,0,88
"","","","","","","SER-FSDU-CFT-12F",11,0,88
"","","","","","","SER-FSDU-CFT-24F",11,0,88
"","","","","","","SER-FSDU-CFT-48F",11,0,88
"","D0U-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",209,0,1672
"","","","","","","SER-FSDU-CFT-12F",209,0,1672
"","","","","","","SER-FSDU-CFT-24F",209,0,1672
"","","","","","","SER-FSDU-CFT-48F",209,0,1672
"","D2W-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",315,0,2520
"","","","","","","SER-FSDU-CFT-12F",315,0,2520
"","","","","","","SER-FSDU-CFT-24F",315,0,2520
"","","","","","","SER-FSDU-CFT-48F",315,0,2520
"","D3S-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",319,0,2552
"","","","","","","SER-FSDU-CFT-12F",319,0,2552
"","","","","","","SER-FSDU-CFT-24F",319,0,2552
"","","","","","","SER-FSDU-CFT-48F",319,0,2552
"","D3V-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",64,0,512
"","","","","","","SER-FSDU-CFT-12F",64,0,512
"","","","","","","SER-FSDU-CFT-24F",64,0,512
"","","","","","","SER-FSDU-CFT-48F",64,0,512
"","D8X-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",125,0,1824
"","","","","","","SER-FSDU-CFT-12F",125,0,1824
"","","","","","","SER-FSDU-CFT-24F",125,0,1824
"","","","","","","SER-FSDU-CFT-48F",125,0,1824
"","D9E-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",291,0,2512
"","","","","","","SER-FSDU-CFT-12F",291,0,2512
"","","","","","","SER-FSDU-CFT-24F",291,0,2512
"","","","","","","SER-FSDU-CFT-48F",291,0,2512
"","D9X-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",126,0,2016
"","","","","","","SER-FSDU-CFT-12F",126,0,2016
"","","","","","","SER-FSDU-CFT-24F",126,0,2016
"","","","","","","SER-FSDU-CFT-48F",126,0,2016
"","DIM-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",180,0,1440
"","","","","","","SER-FSDU-CFT-12F",180,0,1440
"","","","","","","SER-FSDU-CFT-24F",180,0,1440
"","","","","","","SER-FSDU-CFT-48F",180,0,1440
"","DU0-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",32,0,256
"","","","","","","SER-FSDU-CFT-12F",32,0,256
"","","","","","","SER-FSDU-CFT-24F",32,0,256
"","","","","","","SER-FSDU-CFT-48F",32,0,256
"","DU4-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",128,0,952
"","","","","","","SER-FSDU-CFT-12F",128,0,952
"","","","","","","SER-FSDU-CFT-24F",128,0,952
"","","","","","","SER-FSDU-CFT-48F",128,0,952
"","DX3-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",213,0,1704
"","","","","","","SER-FSDU-CFT-12F",213,0,1704
"","","","","","","SER-FSDU-CFT-24F",213,0,1704
"","","","","","","SER-FSDU-CFT-48F",213,0,1704
"","E2X-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",268,0,2144
"","","","","","","SER-FSDU-CFT-12F",268,0,2144
"","","","","","","SER-FSDU-CFT-24F",268,0,2144
"","","","","","","SER-FSDU-CFT-48F",268,0,2144
"","F02-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",221,0,3536
"","","","","","","SER-FSDU-CFT-12F",221,0,3536
"","","","","","","SER-FSDU-CFT-24F",221,0,3536
"","","","","","","SER-FSDU-CFT-48F",221,0,3536
"","F02 -2-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",11,0,88
"","","","","","","SER-FSDU-CFT-12F",11,0,88
"","","","","","","SER-FSDU-CFT-24F",11,0,88
"","","","","","","SER-FSDU-CFT-48F",11,0,88
"","F1T-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",298,0,2384
"","","","","","","SER-FSDU-CFT-12F",298,0,2384
"","","","","","","SER-FSDU-CFT-24F",298,0,2384
"","","","","","","SER-FSDU-CFT-48F",298,0,2384
"","F3T-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",125,0,1000
"","","","","","","SER-FSDU-CFT-12F",125,0,1000
"","","","","","","SER-FSDU-CFT-24F",125,0,1000
"","","","","","","SER-FSDU-CFT-48F",125,0,1000
"","FM2-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",16,0,128
"","","","","","","SER-FSDU-CFT-12F",16,0,128
"","","","","","","SER-FSDU-CFT-24F",16,0,128
"","","","","","","SER-FSDU-CFT-48F",16,0,128
"","FNX-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",0,0,0
"","","","","","","SER-FSDU-CFT-12F",0,0,0
"","","","","","","SER-FSDU-CFT-24F",0,0,0
"","","","","","","SER-FSDU-CFT-48F",0,0,0
"","FNZ-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",0,0,0
"","","","","","","SER-FSDU-CFT-12F",0,0,0
"","","","","","","SER-FSDU-CFT-24F",0,0,0
"","","","","","","SER-FSDU-CFT-48F",0,0,0
"","FP2-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",275,0,2200
"","","","","","","SER-FSDU-CFT-12F",275,0,2200
"","","","","","","SER-FSDU-CFT-24F",275,0,2200
"","","","","","","SER-FSDU-CFT-48F",275,0,2200
"","FX2-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",173,0,1384
"","","","","","","SER-FSDU-CFT-12F",173,0,1384
"","","","","","","SER-FSDU-CFT-24F",173,0,1384
"","","","","","","SER-FSDU-CFT-48F",173,0,1384
"","FZX-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",329,0,2632
"","","","","","","SER-FSDU-CFT-12F",329,0,2632
"","","","","","","SER-FSDU-CFT-24F",329,0,2632
"","","","","","","SER-FSDU-CFT-48F",329,0,2632
"","G17-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",53,0,848
"","","","","","","SER-FSDU-CFT-12F",53,0,848
"","","","","","","SER-FSDU-CFT-24F",53,0,848
"","","","","","","SER-FSDU-CFT-48F",53,0,848
"","G3D-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",64,0,1024
"","","","","","","SER-FSDU-CFT-12F",64,0,1024
"","","","","","","SER-FSDU-CFT-24F",64,0,1024
"","","","","","","SER-FSDU-CFT-48F",64,0,1024
"","G3R-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",88,0,1408
"","","","","","","SER-FSDU-CFT-12F",88,0,1408
"","","","","","","SER-FSDU-CFT-24F",88,0,1408
"","","","","","","SER-FSDU-CFT-48F",88,0,1408
