"ID","RSU Code","SDU Billing Rates","Circle","GST State","ID (Rsu Items)","Item (Rsu Items)","Plan FAT (Rsu Items)","Plan Fibre length (Rsu Items)","Plan HP (Rsu Items)"
"SBB-0-KTK-11451","SBB-0","KTK 1 Year Fix","KTK","","1ne32mbsm4","SER-FSDU-CFT-6F",172,0,1424
"","","","","","1ne3ap0rli","SER-FSDU-CFT-12F",172,0,1424
"","","","","","1ne3kpoej2","SER-FSDU-CFT-24F",172,0,1424
"","","","","","1ne3evgf5n","SER-FSDU-CFT-48F",172,0,1424
"RYD-0-KTK-11450","RYD-0","KTK 1 Year Fix","KTK","Karnataka","1ne3ska9c8","SER-FSDU-CFT-6F",161,0,1416
"","","","","","1ne3d7qsph","SER-FSDU-CFT-12F",161,0,1416
"","","","","","1ne3n4k8jt","SER-FSDU-CFT-24F",161,0,1416
"","","","","","1ne3nkn9q8","SER-FSDU-CFT-48F",161,0,1416
"RTB-0-KTK-11449","RTB-0","KTK 1 Year Fix","KTK","","1ne3a4iadq","SER-FSDU-CFT-6F",269,0,2280
"","","","","","1ne33jusae","SER-FSDU-CFT-12F",269,0,2280
"","","","","","1ne33663qd","SER-FSDU-CFT-24F",269,0,2280
"","","","","","1ne37jovlm","SER-FSDU-CFT-48F",269,0,2280
"RRD-0-KTK-11448","RRD-0","KTK 1 Year Fix","KTK","","1ne3aparul","SER-FSDU-CFT-6F",412,0,3488
"","","","","","1ne3sum0oa","SER-FSDU-CFT-12F",412,0,3488
"","","","","","1ne353ouc9","SER-FSDU-CFT-24F",412,0,3488
"","","","","","1ne3uj820g","SER-FSDU-CFT-48F",412,0,3488
"RRB-0-KTK-11447","RRB-0","KTK 1 Year Fix","KTK","","1ne33b63tp","SER-FSDU-CFT-6F",266,0,2320
"","","","","","1ne3m1atf1","SER-FSDU-CFT-12F",266,0,2320
"","","","","","1ne3g24qnh","SER-FSDU-CFT-24F",266,0,2320
"","","","","","1ne35cg4cd","SER-FSDU-CFT-48F",266,0,2320
"RMN-0-KTK-11446","RMN-0","KTK 1 Year Fix","KTK","","1ne36t2dnt","SER-FSDU-CFT-6F",386,0,4367
"","","","","","1ne3jqs54g","SER-FSDU-CFT-12F",386,0,4367
"","","","","","1ne33rltlb","SER-FSDU-CFT-24F",386,0,4367
"","","","","","1ne3i2l8r7","SER-FSDU-CFT-48F",386,0,4367
"RMH-0-KTK-11445","RMH-0","KTK 1 Year Fix","KTK","","1ne2v0lhh8","SER-FSDU-CFT-6F",342,0,3520
"","","","","","1ne2q0fu4c","SER-FSDU-CFT-12F",342,0,3520
"","","","","","1ne2b7ahlc","SER-FSDU-CFT-24F",342,0,3520
"","","","","","1ne2h10muk","SER-FSDU-CFT-48F",342,0,3520
"RJN-0-KTK-11444","RJN-0","KTK 1 Year Fix","KTK","","1ne2mnbgdu","SER-FSDU-CFT-6F",168,0,1344
"","","","","","1ne2kb05ev","SER-FSDU-CFT-12F",168,0,1344
"","","","","","1ne2doum3c","SER-FSDU-CFT-24F",168,0,1344
"","","","","","1ne2g2ib7e","SER-FSDU-CFT-48F",168,0,1344
"RIA-0-KTK-11443","RIA-0","KTK 1 Year Fix","KTK","","1ne224c8st","SER-FSDU-CFT-6F",324,0,2608
"","","","","","1ne29hutki","SER-FSDU-CFT-12F",324,0,2608
"","","","","","1ne2o2o6bl","SER-FSDU-CFT-24F",324,0,2608
"","","","","","1ne2gjdkvm","SER-FSDU-CFT-48F",324,0,2608
"RGL-0-KTK-11442","RGL-0","KTK 1 Year Fix","KTK","","1ne2k2rudk","SER-FSDU-CFT-6F",259,0,2128
"","","","","","1ne2rv576j","SER-FSDU-CFT-12F",259,0,2128
"","","","","","1ne2osmvnp","SER-FSDU-CFT-24F",259,0,2128
"","","","","","1ne20p8lk1","SER-FSDU-CFT-48F",259,0,2128
"RCP-0-KTK-11441","RCP-0","KTK 1 Year Fix","KTK","Karnataka","1ne21sdhn0","SER-FSDU-CFT-6F",270,0,2264
"","","","","","1ne2tr01iu","SER-FSDU-CFT-12F",270,0,2264
"","","","","","1ne29a9ttb","SER-FSDU-CFT-24F",270,0,2264
"","","","","","1ne2265vbg","SER-FSDU-CFT-48F",270,0,2264
"RAN-0-KTK-11440","RAN-0","KTK 1 Year Fix","KTK","","1ne26hgbc2","SER-FSDU-CFT-6F",155,0,1496
"","","","","","1ne2fhld0m","SER-FSDU-CFT-12F",155,0,1496
"","","","","","1ne2d7sgmn","SER-FSDU-CFT-24F",155,0,1496
"","","","","","1ne2pl5p06","SER-FSDU-CFT-48F",155,0,1496
"PUP-0-KTK-11439","PUP-0","KTK 1 Year Fix","KTK","","1ne2c7t2l5","SER-FSDU-CFT-6F",287,0,2488
"","","","","","1ne2lp4a23","SER-FSDU-CFT-12F",287,0,2488
"","","","","","1ne21fesok","SER-FSDU-CFT-24F",287,0,2488
"","","","","","1ne2oi5nat","SER-FSDU-CFT-48F",287,0,2488
"PTB-0-KTK-11438","PTB-0","KTK 1 Year Fix","KTK","","1ne28dkn34","SER-FSDU-CFT-6F",196,0,1976
"","","","","","1ne2sugdqj","SER-FSDU-CFT-12F",196,0,1976
"","","","","","1ne2anf71j","SER-FSDU-CFT-24F",196,0,1976
"","","","","","1ne20prbn5","SER-FSDU-CFT-48F",196,0,1976
"PRL-0-KTK-11437","PRL-0","KTK 1 Year Fix","KTK","","1ne2ang7j5","SER-FSDU-CFT-6F",89,0,728
"","","","","","1ne2pleipd","SER-FSDU-CFT-12F",89,0,728
"","","","","","1ne2jllgda","SER-FSDU-CFT-24F",89,0,728
"","","","","","1ne2o5btf7","SER-FSDU-CFT-48F",89,0,728
"PPS-0-KTK-11436","PPS-0","KTK 1 Year Fix","KTK","","1ne1kds3rh","SER-FSDU-CFT-6F",196,0,1936
"","","","","","1ne1e3lobd","SER-FSDU-CFT-12F",196,0,1936
"","","","","","1ne1m91tlp","SER-FSDU-CFT-24F",196,0,1936
"","","","","","1ne1vpf7h9","SER-FSDU-CFT-48F",196,0,1936
"PNC-0-KTK-11435","PNC-0","KTK 1 Year Fix","KTK","","1ne13c2qro","SER-FSDU-CFT-6F",243,0,2048
"","","","","","1ne1fcl66s","SER-FSDU-CFT-12F",243,0,2048
"","","","","","1ne14cjhu1","SER-FSDU-CFT-24F",243,0,2048
"","","","","","1ne17uk4v8","SER-FSDU-CFT-48F",243,0,2048
"PMP-0-KTK-11434","PMP-0","KTK 1 Year Fix","KTK","","1ne14ie3fj","SER-FSDU-CFT-6F",313,0,2854
"","","","","","1ne1bu5akl","SER-FSDU-CFT-12F",313,0,2854
"","","","","","1ne1udtdbv","SER-FSDU-CFT-24F",313,0,2854
"","","","","","1ne185fbfq","SER-FSDU-CFT-48F",313,0,2854
"PLH-0-KTK-11433","PLH-0","KTK 1 Year Fix","KTK","","1ne16lkuv9","SER-FSDU-CFT-6F",155,0,1360
"","","","","","1ne1lgacja","SER-FSDU-CFT-12F",155,0,1360
"","","","","","1ne19994gp","SER-FSDU-CFT-24F",155,0,1360
"","","","","","1ne11qhjoc","SER-FSDU-CFT-48F",155,0,1360
"PLE-0-KTK-11432","PLE-0","KTK 1 Year Fix","KTK","","1ne1stm41b","SER-FSDU-CFT-6F",241,0,2096
"","","","","","1ne1kciooj","SER-FSDU-CFT-12F",241,0,2096
"","","","","","1ne165ocnl","SER-FSDU-CFT-24F",241,0,2096
"","","","","","1ne1c47klp","SER-FSDU-CFT-48F",241,0,2096
"PHP-0-KTK-11431","PHP-0","KTK 1 Year Fix","KTK","","1ne1cdlk8h","SER-FSDU-CFT-6F",98,0,824
"","","","","","1ne1foo0jm","SER-FSDU-CFT-12F",98,0,824
"","","","","","1ne1vfc5co","SER-FSDU-CFT-24F",98,0,824
"","","","","","1ne1rlfmsn","SER-FSDU-CFT-48F",98,0,824
"PGR-0-KTK-11430","PGR-0","KTK 1 Year Fix","KTK","","1ne10aei1m","SER-FSDU-CFT-6F",173,0,1408
"","","","","","1ne1l25va1","SER-FSDU-CFT-12F",173,0,1408
"","","","","","1ne10sjfjm","SER-FSDU-CFT-24F",173,0,1408
"","","","","","1ne1aa45hm","SER-FSDU-CFT-48F",173,0,1408
"PFA-0-KTK-11429","PFA-0","KTK 1 Year Fix","KTK","","1ne14aph92","SER-FSDU-CFT-6F",167,0,1400
"","","","","","1ne1kkq539","SER-FSDU-CFT-12F",167,0,1400
"","","","","","1ne1mdp95e","SER-FSDU-CFT-24F",167,0,1400
"","","","","","1ne14cobnq","SER-FSDU-CFT-48F",167,0,1400
"PDV-0-KTK-11428","PDV-0","KTK 1 Year Fix","KTK","","1ne18d0i83","SER-FSDU-CFT-6F",208,0,2504
"","","","","","1ne13q60t5","SER-FSDU-CFT-12F",208,0,2504
"","","","","","1ne1qogj72","SER-FSDU-CFT-24F",208,0,2504
"","","","","","1ne1vl44g1","SER-FSDU-CFT-48F",208,0,2504
"OPX-0-KTK-11427","OPX-0","KTK 1 Year Fix","KTK","","1ne0mcbmj0","SER-FSDU-CFT-6F",256,0,2160
"","","","","","1ne0dce1v9","SER-FSDU-CFT-12F",256,0,2160
"","","","","","1ne0c5nkag","SER-FSDU-CFT-24F",256,0,2160
"","","","","","1ne0c56ahk","SER-FSDU-CFT-48F",256,0,2160
"NRL-0-KTK-11426","NRL-0","KTK 1 Year Fix","KTK","","1ne0s6qahr","SER-FSDU-CFT-6F",331,0,2736
"","","","","","1ne02kg64a","SER-FSDU-CFT-12F",331,0,2736
"","","","","","1ne0tn7v51","SER-FSDU-CFT-24F",331,0,2736
"","","","","","1ne0o9r3b8","SER-FSDU-CFT-48F",331,0,2736
"NR9-0-KTK-11425","NR9-0","KTK 1 Year Fix","KTK","Karnataka","1ne07os69v","SER-FSDU-CFT-6F",250,0,2136
"","","","","","1ne08c91ff","SER-FSDU-CFT-12F",250,0,2136
"","","","","","1ne01a7fmd","SER-FSDU-CFT-24F",250,0,2136
"","","","","","1ne0dfmt0a","SER-FSDU-CFT-48F",250,0,2136
"NNJ-0-KTK-11424","NNJ-0","KTK 1 Year Fix","KTK","","1ne0mhn048","SER-FSDU-CFT-6F",286,0,2320
"","","","","","1ne0mbt69o","SER-FSDU-CFT-12F",286,0,2320
"","","","","","1ne09hfav9","SER-FSDU-CFT-24F",286,0,2320
