ID,RSU ID,RSU Code,Hoto Date ,ID (Executed),Executed FAT (Executed),Executed HP (Executed),Hoto Item (Executed),Incremental Hoto(fibre length) (Executed)
,,,,,69,760,SER-FSDU-CFT-12F,558
,,,,,69,760,SER-FSDU-CFT-24F,1993
,,,,,69,760,SER-FSDU-CFT-48F,0
,BRW-0-KTK-11325,BRW-0,2025-04-20,,0,0,SER-FSDU-CFT-6F,241
,,,,,0,0,SER-FSDU-CFT-12F,0
,,,,,0,0,SER-FSDU-CFT-24F,0
,,,,,0,0,SER-FSDU-CFT-48F,0
,BSP-0-KTK-11326,BSP-0,2024-12-20,,107,976,SER-FSDU-CFT-6F,3409
,,,,,107,976,SER-FSDU-CFT-12F,1343
,,,,,107,976,SER-FSDU-CFT-24F,1889
,,,,,107,976,SER-FSDU-CFT-48F,0
,BSP-0-KTK-11326,BSP-0,2025-07-20,,4,80,SER-FSDU-CFT-6F,356
,,,,,4,80,SER-FSDU-CFT-12F,0
,,,,,4,80,SER-FSDU-CFT-24F,0
,,,,,4,80,SER-FSDU-CFT-48F,0
,BSR-0-KTK-11327,BSR-0,2024-12-20,,146,1248,SER-FSDU-CFT-6F,5350
,,,,,146,1248,SER-FSDU-CFT-12F,1654
,,,,,146,1248,SER-FSDU-CFT-24F,4134
,,,,,146,1248,SER-FSDU-CFT-48F,0
,BSR-0-KTK-11327,BSR-0,2025-01-20,,95,760,SER-FSDU-CFT-6F,3941
,,,,,95,760,SER-FSDU-CFT-12F,423
,,,,,95,760,SER-FSDU-CFT-24F,1545
,,,,,95,760,SER-FSDU-CFT-48F,0
,BZL-0-KTK-11328,BZL-0,2024-09-20,,47,416,SER-FSDU-CFT-6F,1652
,,,,,47,416,SER-FSDU-CFT-12F,373
,,,,,47,416,SER-FSDU-CFT-24F,1542
,,,,,47,416,SER-FSDU-CFT-48F,0
,CDS-0-KTK-11329,CDS-0,2025-06-20,,47,392,SER-FSDU-CFT-6F,1309
,,,,,47,392,SER-FSDU-CFT-12F,1069
,,,,,47,392,SER-FSDU-CFT-24F,970
,,,,,47,392,SER-FSDU-CFT-48F,423
,CDS-0-KTK-11329,CDS-0,2025-08-20,,43,384,SER-FSDU-CFT-6F,1370
,,,,,43,384,SER-FSDU-CFT-12F,585
,,,,,43,384,SER-FSDU-CFT-24F,351
,,,,,43,384,SER-FSDU-CFT-48F,976
,CHT-0-KTK-11330,CHT-0,2024-05-20,,54,568,SER-FSDU-CFT-6F,2602
,,,,,54,568,SER-FSDU-CFT-12F,460
,,,,,54,568,SER-FSDU-CFT-24F,1273
,,,,,54,568,SER-FSDU-CFT-48F,0
,CHT-0-KTK-11330,CHT-0,2025-07-20,,23,256,SER-FSDU-CFT-6F,1518
,,,,,23,256,SER-FSDU-CFT-12F,388
,,,,,23,256,SER-FSDU-CFT-24F,287
,,,,,23,256,SER-FSDU-CFT-48F,0
,CIL-0-KTK-11331,CIL-0,2025-03-20,,168,1712,SER-FSDU-CFT-6F,6699
,,,,,168,1712,SER-FSDU-CFT-12F,2240
,,,,,168,1712,SER-FSDU-CFT-24F,3441
,,,,,168,1712,SER-FSDU-CFT-48F,0
,CIL-0-KTK-11331,CIL-0,2025-04-20,,29,304,SER-FSDU-CFT-6F,1383
,,,,,29,304,SER-FSDU-CFT-12F,190
,,,,,29,304,SER-FSDU-CFT-24F,923
,,,,,29,304,SER-FSDU-CFT-48F,0
,CIL-0-KTK-11331,CIL-0,2025-08-20,,1,16,SER-FSDU-CFT-6F,0
,,,,,1,16,SER-FSDU-CFT-12F,48
,,,,,1,16,SER-FSDU-CFT-24F,0
,,,,,1,16,SER-FSDU-CFT-48F,0
