"ID","RSU Code","SDU Billing Rates","Circle","GST State","ID (Rsu Items)","Item (Rsu Items)","Plan FAT (Rsu Items)","Plan Fibre length (Rsu Items)","Plan HP (Rsu Items)"
"","","","","","","SER-FSDU-CFT-12F",100,0,864
"","","","","","","SER-FSDU-CFT-24F",100,0,864
"","","","","","","SER-FSDU-CFT-48F",100,0,864
"","CHT-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",191,0,1608
"","","","","","","SER-FSDU-CFT-12F",191,0,1608
"","","","","","","SER-FSDU-CFT-24F",191,0,1608
"","","","","","","SER-FSDU-CFT-48F",191,0,1608
"","CIL-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",237,0,2400
"","","","","","","SER-FSDU-CFT-12F",237,0,2400
"","","","","","","SER-FSDU-CFT-24F",237,0,2400
"","","","","","","SER-FSDU-CFT-48F",237,0,2400
"","CJR-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",218,0,1936
"","","","","","","SER-FSDU-CFT-12F",218,0,1936
"","","","","","","SER-FSDU-CFT-24F",218,0,1936
"","","","","","","SER-FSDU-CFT-48F",218,0,1936
"","CLG-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",681,0,5592
"","","","","","","SER-FSDU-CFT-12F",681,0,5592
"","","","","","","SER-FSDU-CFT-24F",681,0,5592
"","","","","","","SER-FSDU-CFT-48F",681,0,5592
"","CMH-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",302,0,2776
"","","","","","","SER-FSDU-CFT-12F",302,0,2776
"","","","","","","SER-FSDU-CFT-24F",302,0,2776
"","","","","","","SER-FSDU-CFT-48F",302,0,2776
"","CMR-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",216,0,2000
"","","","","","","SER-FSDU-CFT-12F",216,0,2000
"","","","","","","SER-FSDU-CFT-24F",216,0,2000
"","","","","","","SER-FSDU-CFT-48F",216,0,2000
"","CNH-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",59,0,664
"","","","","","","SER-FSDU-CFT-12F",59,0,664
